lat,lon,Country,URL,Summary,id,Captions,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
39.69995636,-105.41619969999999,United States,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file2__image.jpeg,Caught in a photo of the full moon.  i could not see it with the naked eye. but when i was looking at photos. there was this strange green  spaceship looking thing,19,a close up of a bird flying in the air,['jellyfish'],jellyfish,,,,,,
39.69995636,-105.41619969999999,United States,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file3__image.jpeg,Caught in a photo of the full moon.  i could not see it with the naked eye. but when i was looking at photos. there was this strange green  spaceship looking thing,20,a close up of a person holding a snow board,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,,,,
39.69995636,-105.41619969999999,United States,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file4__image.jpeg,Caught in a photo of the full moon.  i could not see it with the naked eye. but when i was looking at photos. there was this strange green  spaceship looking thing,21,a night view of a city street at night .,['volcano'],volcano,,,,,,
39.69995636,-105.41619969999999,United States,http://www.mufoncms.com/files_jeud8334j/91189_submitter_file5__image.jpeg,Caught in a photo of the full moon.  i could not see it with the naked eye. but when i was looking at photos. there was this strange green  spaceship looking thing,22,a view of a mountain range from a plane .,['volcano'],volcano,,,,,,
45.31432244,-79.22272832,Canada,http://www.mufoncms.com/files_jeud8334j/91178_submitter_file1__20171006184101.jpg,Small round object seen  slowly floating away,183,a black and white photo of a computer mouse .,['ping-pong ball'],ping-pong ball,,,,,,
12.9736587,77.6020227,India,http://www.mufoncms.com/files_jeud8334j/91176_submitter_file1__IMG20180324074428.jpg,Attached photo was taken from indigo flight 6e 95 blr to dxb on 24/03/18,92,an airplane wing flying over a mountain range .,['wing'],wing,,,,,,
28.42695148,-97.70972531,United States,http://www.mufoncms.com/files_jeud8334j/91159_submitter_file1__01c406177bab83de4911e2bd57ec61c5180f3ff4a8.jpg,It was a rotating cloud like formation that was stationary for about 30 minutes. all other clouds were floating north but it did not move.,187,a street sign sitting on the side of a road .,"['flagpole, flagstaff']",flagpole, flagstaff,,,,,
28.42695148,-97.70972531,United States,http://www.mufoncms.com/files_jeud8334j/91159_submitter_file2__017233ef8d465922e9b6cc75d67867faa4e28c1526.jpg,It was a rotating cloud like formation that was stationary for about 30 minutes. all other clouds were floating north but it did not move.,188,a street sign sitting on the side of a road .,"['solar dish, solar collector, solar furnace']",solar dish, solar collector, solar furnace,,,,
35.5212713,-86.57547729999999,United States,http://www.mufoncms.com/files_jeud8334j/91156_submitter_file1__8599265AB24C43ABA17EA02A270701C8.jpeg,Observing 737 overhead at approximately 30,189,a man flying a kite in a park .,['fountain'],fountain,,,,,,
46.0955265,-64.7734313,Canada,http://www.mufoncms.com/files_jeud8334j/91154_submitter_file2__IMG2007.PNG,Reviewing frames in video show objects swarming airplane.  ,270,a person flying a kite in a field .,['kite'],kite,,,,,,
46.0955265,-64.7734313,Canada,http://www.mufoncms.com/files_jeud8334j/91154_submitter_file3__IMG2010.PNG,Reviewing frames in video show objects swarming airplane.  ,271,a person flying a kite in the sky .,['kite'],kite,,,,,,
46.0955265,-64.7734313,Canada,http://www.mufoncms.com/files_jeud8334j/91154_submitter_file4__IMG2047.PNG,Reviewing frames in video show objects swarming airplane.  ,272,a plane flying in the sky with a sky background,['wing'],wing,,,,,,
46.0955265,-64.7734313,Canada,http://www.mufoncms.com/files_jeud8334j/91154_submitter_file5__IMG2052.PNG,Reviewing frames in video show objects swarming airplane.  ,273,an airplane flying through a cloudy blue sky .,['wing'],wing,,,,,,
46.0955265,-64.7734313,Canada,http://www.mufoncms.com/files_jeud8334j/91154_submitter_file6__IMG2055.PNG,Reviewing frames in video show objects swarming airplane.  ,274,a plane flying in the sky with a sky background,"['hook, claw']",hook, claw,,,,,
36.0492748,-94.2456015,United States,http://www.mufoncms.com/files_jeud8334j/91145_submitter_file1__551418D22AF54116A5144DD813224F1D.jpeg,Mufon file 91139 additional image of white cylinders,29,a close up of a kite flying in the sky,['bubble'],bubble,,,,,,
36.0492748,-94.2456015,United States,http://www.mufoncms.com/files_jeud8334j/91145_submitter_file2__10AB009BA6324A458EF29FFFA1623035.jpeg,Mufon file 91139 additional image of white cylinders,30,a view of a wing from an airplane window .,['wing'],wing,,,,,,
-34.51426746,-58.63267124,Argentina,http://www.mufoncms.com/files_jeud8334j/91137_submitter_file1__08A875374F2748048588C0927FCC9CD2.jpeg,A relative of mine,107,a plane flying in the air with a sky background,['airliner'],airliner,,,,,,
16.975375800000002,121.81070790000001,Philippines,http://www.mufoncms.com/files_jeud8334j/91131_submitter_file1__DSC0235.JPG,Objects found after taking photos in isabela,243,a group of people standing on top of a lush green field .,"['valley, vale']",valley, vale,,,,,
