id,location,lat,lon,date,text,named_entities
DEFE-24-1922_29,"RAF, Turnhouse Road, Dolphington Cottages, Ingliston, City of Edinburgh, Scotland, EH12 0AW, UK",55.9515812,-3.3469413,MAY,"K. NEARBY OBJECTS
(Telephone lines, high voltage
lines, reservoir, lake or dam,
swamp or marsh, river, high
buildings. tall chimneys, steeples,
spires, TV or radio masts,
airfields, generating plant, V
factories, pits or other sites with
flood lights .or night lighting)
rm
 
TO wnon REPORTED
(Police, military; press etc.)
 
HET‰Ûª F%nJCET
90mm 71).
ccwfurÌ©k zezz- 39/0
mm mm
 
NAME AND ADDRESS OF INFORMANT
 
BACKGROUND OF INFORNANT THAT MAY Bi_
V LUNTEERED
 
gbunt•ÂÅ•Ââ> easesigL57
m mu cb/
 
0. OTHER VITNESSES
/‰Ûª
 
P; DATE AND TIME OF RECEIPT
10(919 DEC 99åÈ.
 
ANY UNUSUAL METEOROLOGICAL
 
 
 
 
 
 
 
 
 
. Q. ‰Ûª2////
CONDITIONS ‰Ûª
R. REMARKS
Date ZIå£H?Z>31J- Sqn 0 AF Ops
. 1
Copies to: DS-‰Û÷ Ops (GE)? (RAF) D1 55 (RAF) File
Rm Rm Rm
Maln 3 Main 3 Metropo e
 
K.","[(u'TITLE', u'river'), (u'CAUSE_OF_DEATH', u'flood'), (u'TIME', u'night'), (u'PERCENT', u'F %'), (u'NUMBER', u'90'), (u'NUMBER', u'71'), (u'NUMBER', u'39/0'), (u'DATE', u'MAY'), (u'NUMBER', u'_'), (u'NUMBER', u'0'), (u'NUMBER', u'10'), (u'NUMBER', u'919 DEC 99'), (u'NUMBER', u'2'), (u'NUMBER', u'0 AF Ops'), (u'NUMBER', u'1'), (u'ORGANIZATION', u'RAF'), (u'NUMBER', u'55'), (u'ORGANIZATION', u'RAF'), (u'NUMBER', u'3'), (u'NUMBER', u'3 Metropo')]"
DEFE-24-1922_15,"Time, Telegraph Road, Woodchurch, Wirral, North West England, England, CH60 6TX, UK",53.3287084,-3.1001542,,"REPORT OF AN UNIDENTIFIED FLYING OBJECT
 
Date, Time and Duration of
Sighting.
27,1325 7_ 70kg‰Ûù;
‰Ûª0‰Ûù;M 4
 
DESCRIPTION OF OBJECT
(Humber of ob•ÂÅecta, size,
shape, colour, brightness)
 
 
EXACT POSITION 0F OBSERVER
(Location,‰Û÷inaoor/oufaoor,
Vatationary; moving)
Mu pkg‰ÛÏ m.•ÂÅÌ©L•ÂâHD/hÌ©
W N-Ya‰Ûª•Ââ‰Û÷
 
 
D.
BOW OBSERVED
e eye, inoculars,
other'qptical devices.
still or movie)
3mm: V/(gme
 
DIRECTION IN WHICH OBJECT
EIRST SEEN
‰Û÷ an ar may be more
useful than a badly estimated
bearing)
@5223.
 
F.
- ANGLE 01? SIGHT
Lstlmated
> elghts are
unreliable)
95å¡.
 
DISTANCE
- _ reference ts knvwn
landmark)
$99‰âÂ% {ZwvunåÇ.‰Û÷
 
HOVEHENTS
(Changes in E; F and G may
bg or more use than estimates
0: course and speed)
/
SW 1'
 
 
 
J.
MET CONDITIONS DURING
(clouds, Haze; mist etc)
 
ma;
 
REPOR","[(u'ORGANIZATION', u'Time'), (u'NUMBER', u'27,1325 7'), (u'NUMBER', u'70'), (u'NUMBER', u'0'), (u'NUMBER', u'4'), (u'LOCATION', u'Vatationary'), (u'NUMBER', u'3'), (u'NUMBER', u'5223'), (u'ORGANIZATION', u'ANGLE 01'), (u'NUMBER', u'95'), (u'NUMBER', u'_'), (u'MONEY', u'$ 99 $ %'), (u'PERSON', u'Zwvun'), (u'NUMBER', u'0'), (u'NUMBER', u'1')]"
DEFE-24-1922_114,,,,MAY,"K. m:nm OBJECTS - lewga 7 ( ' ‰Û÷
(Telephone lines, high voltage In, W SW (motgfgÌ©
lines, reservoir, lake or dam, [20% 15W NNE
swamp or marsh, river, high
buildings, tall chimneys, steeples,
spires, TV' or radio masts,
airfields,‰Ûª generating plant, .
factories, pits or other sites with
'i'lood lights or night lighting)
 
~ . ' \‰ÛÓ D ‰Û÷
L. TO waon REPORTED do 01125 00% M F m
L7
[~‰ÛÓ
(Police, military, press etc.) ‰Û÷1‰Û÷
 
' r1. BE AND ADDRESS OF BJFOEWANT
 
 
 
 
 
 
 
 
N. BACKGROUND 'OF momma? THAT MAY BE 7'10 hkamd [?\I/UWI'OIZOL
VDLUNTEERED
0. cm WITNESSES - 720m
‰Û÷P.‰Ûª mm AND TIME OF RECEIPT - 1835/: $2005 A.
- Q. m UNUSUAL METEOROIDGICAL _ 72å¢,
CONDITIONS
 
R. REMARKS [Nona ngza•ÂÅndd -‰Ûù
' a Mm @515‰ÛÏ M
 
 
 
 
 
 
Date fg•ÂÅ/anief /?%j~
Sq AF 0133
Copies to; D8 583 Ops GE 2 RAF) DI File
Em Bm Rm '
Main g Main 5 Metropo e
 
K.","[(u'NUMBER', u'7'), (u'PERCENT', u'20 % 15W'), (u'TITLE', u'river'), (u'TIME', u'night'), (u'DATE', u'01125 00 %'), (u'NUMBER', u'~'), (u'NUMBER', u'1'), (u'MISC', u'BJFOEWANT N.'), (u'DATE', u'MAY'), (u'NUMBER', u""7 '10""), (u'ORGANIZATION', u'OIZOL VDLUNTEERED 0'), (u'NUMBER', u'720m'), (u'DATE', u'1835'), (u'MONEY', u'$ 2005'), (u'MONEY', u'_ 72 cents'), (u'PERSON', u'Nona'), (u'NUMBER', u'515'), (u'NUMBER', u'~'), (u'NUMBER', u'0133'), (u'NUMBER', u'583'), (u'ORGANIZATION', u'GE 2 RAF'), (u'MISC', u'DI File Em Bm Rm'), (u'NUMBER', u'5 Metropo')]"
DEFE-24-1922_100,"Bedfordshire, Church End Road, Haynes, Central Bedfordshire, East of England, England, MK45 3QP, UK",52.0640034,-0.411113756,28th September,"Reply To:
r.
 
 
 
 
 
\( .
Yorkshire UFO Societi (YuroS):
To: The Air Ministry,
Main Building,
Ministry of Defence.
Whitehall,
London, SWI.
Dear sir, I 28th September I984
Ref: Unusual light formation seen over Leeds, 23rd July I984
with regard to the above incident. We are now in receipt, some seven
weeks after requesting data, the Ministry of Defence's denial that they
were in some way involved with the lights seen by many members of the
public over Leeds, and surrounding districts that night.
Our enquires believe that the opposite is true, that either Gazzelle or
Lynx helicopters, from locations we have been in touch with, were involved
in the testing of some form of powerful are light, probably of the same
nature used by Bedfordshire police in their hunt for the man known as the
‰Û÷Fox'. we require a statement, given that we have collected enough data
for this serious matter to be raised by the local authority in the form
of the Leeds & Bradford Airport Authority, which will confirm our findings.
If the nature of the tests are so sensitive, then why carry them out over
a city with a 750,000 plus population, and where we, as a Society will
research the incident until the truth is known? I am aware that if proven,
then prosecutions could result, for breaking Civil Aviation Authority
rules about airspace etc. That is not for me to decide, what I am eager
to do, is resolve who flew over the area that night, in what, why it was
there at all, and just what on Earth is really going on with the continued
shuttle service from the south of England northwards? If answers are to
be forthcoming, I will be grateful, if not, then we shall continue with
our efforts, through various quarters, until then, I remain,
l
 
President)
THE YORKSHIRE UFO SOCIETY
 
Re","[(u'ORGANIZATION', u'Yorkshire UFO Societi'), (u'ORGANIZATION', u'Air Ministry'), (u'ORGANIZATION', u'Ministry of Defence'), (u'ORGANIZATION', u'Whitehall'), (u'CITY', u'London'), (u'DATE', u'28th September'), (u'ORGANIZATION', u'Leeds'), (u'DATE', u'23rd July'), (u'DATE', u'now'), (u'DURATION', u'seven weeks'), (u'ORGANIZATION', u'Ministry of Defence'), (u'ORGANIZATION', u'Leeds'), (u'TIME', u'night'), (u'PERSON', u'Gazzelle'), (u'MISC', u'Lynx'), (u'LOCATION', u'Bedfordshire'), (u'ORGANIZATION', u'Leeds & Bradford Airport Authority'), (u'NUMBER', u'750,000'), (u'ORGANIZATION', u'Society'), (u'ORGANIZATION', u'Civil Aviation Authority'), (u'TIME', u'night'), (u'LOCATION', u'Earth'), (u'COUNTRY', u'England'), (u'TITLE', u'President'), (u'LOCATION', u'YORKSHIRE')]"
DEFE-24-1922_101,,,,,"w‰ÛÏ ' . \',.
..\ r. ,‰Û÷ å__ ~ ‰Û÷\‰Û÷-_ _ ._"":'.
-\-'.""-.
. ‰Û÷ \ , ' ‰Û÷ . ‰Û÷ z"". n'. ‰Û÷ . ""9-.
' . Jv.‰Û÷ -\ . ""‰Û÷3' - ‰ÛÏ.3
, .‰Û÷v. .‰Û÷ ‰Û÷.
\
\
 
.\ \I. , . m.-
.. . . v, y 5‰Û÷...
.\. .n ‰Û÷42, .- .x.
- .åÈ~ ~ ‰Û÷. x.‰Û÷
 
 
 
 
 
åÇå¢- .‰Û÷.w ..
w‰Û÷ .‰Û÷..‰Û÷v'-‰Û÷ ‰Û÷
 
'. . ‰ÛÏT""
x‰Ûù.
‰Û÷ '.\","[(u'NUMBER', u'\\'), (u'NUMBER', u'_ _'), (u'NUMBER', u'9'), (u'NUMBER', u'3'), (u'NUMBER', u'.3'), (u'NUMBER', u'\\'), (u'NUMBER', u'5'), (u'NUMBER', u'42'), (u'NUMBER', u'~'), (u'MONEY', u'`` cents')]"
DEFE-24-1922_115,,,,,"""
 
 
< MSNESTR‰Û÷Y‰Ûª ‰Û÷1}? PF"";
 
 
A. DateJ Time and Duration of Sighting; (Local Times to be Quoted)
I S‰Ûª•ÂÅpp (K)
ij‰Û÷g•ÂÅpr QflÌ©•Ââ A ' (23962:ch N77 _ QOJS 9M6 9C3.
B. Description of Object. (Number of objeccs, size, shape, colours,
brightness, sound, smell etc). _
NW7""? (Zeb 9‰ÛÓ CREBQ LQRTs"" .'.1NTeQ,Cx-\N\åÈQtNC‰Û÷
1E t'•ÂâA %A .2535 Cazeew Towbkvt"" OCCA‰Û÷SqQW $6 $5åÈ: max-
C. Exact Pcsition Observer. (Geographical location. Indoors or outdoors.
Stationary or moving). ' .
80531131 OuTbooPS/ S't‰Ûªk'•ÂÅmqw/
N 1 cmåÈ. $W~m\
11). How O_bserved. (Naked eye, binoculars, other optical device, Still or
'‰ÛÏf‰Û÷l9 namera. . .
NPNEk (YE:-
V- in
E. Direction in which Object was First Seen. (A landmark may be more
useful than a badly estimated bearing).
Hekb‰Û÷•ÂÅcx M exam SW ""REM 37$‰ÛÏme
a_ovuu'ES waif (91114.. < (emu) Mik/ A‰Û÷T Z2735)
F. AQEngoLS‰Û÷gg•ÂÅ. (Estimated heights are unreliable)
$0 C‰Ûù off‰ÛÏ wzw‰Ûªmk
G. Djsgj‰Ûù ance. (By reference to a known landmark memevex possible)
2 MlLfS LJcn' Scsrcam
H. Movements. (Changes in E, F and G may be of more use than estimates
.Wm-‰ÛÓ
of course and. speed).
\
NC CmocxÌ©
'i. {ieteorqlogical Cond1t1o during Observations. (Moving clouds, haze,
-.: -1 ‰ÛÏ4.3)
(Lama PVT FMZST Clack D%IU'UUC. $4 2230
""","[(u'NUMBER', u'MSNESTR'), (u'NUMBER', u'1'), (u'MISC', u'A. DateJ Time'), (u'ORGANIZATION', u'Local Times'), (u'NUMBER', u'23962'), (u'COUNTRY', u'ch'), (u'NUMBER', u'_'), (u'PERSON', u'Zeb 9'), (u'MISC', u'CREBQ LQRTs'), (u'NUMBER', u'.1'), (u'NUMBER', u'\\'), (u'PERCENT', u'\ufb02A %'), (u'NUMBER', u'.2535'), (u'MONEY', u'$ 6 $ 5'), (u'NUMBER', u'80531131'), (u'NUMBER', u'1'), (u'NUMBER', u'~'), (u'NUMBER', u'\\ 11'), (u'MISC', u'E. Direction'), (u'ORDINAL', u'First'), (u'MONEY', u'37 $ ``'), (u'NUMBER', u'91114'), (u'PERSON', u'Mik'), (u'MONEY', u'$ 0'), (u'PERSON', u'G. Djsgj'), (u'NUMBER', u'2'), (u'STATE_OR_PROVINCE', u'NC'), (u'NUMBER', u'-1'), (u'NUMBER', u'4.3'), (u'PERSON', u'FMZST Clack D %'), (u'MONEY', u'$ 4 2230')]"
DEFE-24-1922_14,,,,,Too short,[]
DEFE-24-1922_28,"Havana, South Parade, Monkseaton, North Tyneside, Tyne and Wear, North East England, England, NE26 2RE, UK",55.0437502,-1.442781,,"REPORT 01? m UHIDmT‰Û÷IFIED FLYIWG?:;QBJECTå_""‰ÛÏ_TQ‰Û÷;'TT‰Û÷_‰Ûªf -
 
Date, Time and Duration of
Sighting.
IWRIL
93932 mam g
m .7 ‰Û÷
(va Havana, w . W...
 
U
 
 
 
B.
DESCRIPTION OF OBJECT
(Number of objecfs, size,
shape, colour, brightness)
5ILV‰Û÷E71 05mm} WM?!åÈ
VERY Mmm‰Ûª
 
EXACT POSITION OF OBSERVER
(Location,_indoor/Outaoor,
.stationazy, moving)
FWChVÌ©‰Ûª å£5?$J' {‰Ûù7f3425T
 
HOV OBSERVED
e eye, inoculars,
other'optical devices,
still or movie
mm; EVE
 
DIRECTION IN WHICH OBJECT
IIRST BLEH
‰Ûª an ar may be more
useful than a badly estimated
bearing)
1539‰Ûª - Zm‰Ûª
 
' ANGLE OF SIGHT
(Letlmated Eelghts are
unreliable)
leÌ©tfly
131
19301}?
 
DISTANCE
reference to known
(landmark)
I ma? W•ÂÅ)‰Ûª
 
H.
HOVDENTS
(Changes in E; F and G may
b9 of more use than estimates
0; course and speed)
å_Y7LLåÈ
 
 
J.
NET CONDITIONS DURING
X
(Qlouds, Haze, mist etc)
 
9991
 
 
REPOR","[(u'NUMBER', u'01'), (u'NUMBER', u'\xa7'), (u'ORGANIZATION', u'Time'), (u'NUMBER', u'93932'), (u'NUMBER', u'.7'), (u'LOCATION', u'Havana'), (u'NUMBER', u'05'), (u'NUMBER', u'?!'), (u'NUMBER', u'_'), (u'MONEY', u'# 5'), (u'MONEY', u""$ J'""), (u'DATE', u'1539'), (u'NUMBER', u'131 19301'), (u'NUMBER', u'0'), (u'NUMBER', u'\xa7'), (u'NUMBER', u'9991')]"
DEFE-24-1922_16,"GE, Greyfriars Road, Castle, Cardiff, Wales, CF, UK",51.4834057,-3.1777848,MAY,"K. NEARBY OBJECTS '
(Telephone lines, high voltage
lines, reservoir, lake or dam,
swamp or marsh, river, high
buildings, tall chimneys, steeples, ..
spires, TV or radio masts, .
airfields, generating plant,
factories, pits or other sites with
flood lighti; or night lighting)
 
 
L. TO VIEW REPORTED
(Police, military, ' press etc.)
 
‰Û÷ n. RAM .4511) mums 0F nmommm
 
 
 
 
 
 
N. BACKGROUND or momr THAT MAY BF 5‰Ûª
VOLUNTEERED 1 k) kW
0. cm WITNESSES No
‰Û÷P.‰Ûª DATE mum‰ÛÏ 10F RECEIPT $22335 ""2&7ng
 
‰Û÷ Q. m UNUSUALHMEIITEOROIDGICAL ‰Ûª A3
CONDITIONS ' . o
 
R.EEMARKS
 
 
 
 
I
Date 7‰Ûª12 T191331;
 
andr D00 ‰Ûù0138'
Copies to; 524:‰ÛÏ MM GE DI 55 (RAF) File
Rm Rm Rm
V MB t‰ÛÓ
} . . MB Ne ropo e
K. NE","[(u'MISC', u'K. NEARBY'), (u'TITLE', u'river'), (u'CAUSE_OF_DEATH', u'flood'), (u'TIME', u'night'), (u'NUMBER', u'.4511'), (u'DATE', u'MAY'), (u'NUMBER', u'5'), (u'NUMBER', u'1'), (u'NUMBER', u'0'), (u'MONEY', u'$ 22335'), (u'NUMBER', u'2'), (u'NUMBER', u'7ng'), (u'ORGANIZATION', u'UNUSUALHMEIITEOROIDGICAL'), (u'NUMBER', u'7 \u201912 T191331'), (u'DATE', u'0138'), (u'NUMBER', u'524'), (u'ORGANIZATION', u'GE'), (u'NUMBER', u'55'), (u'ORGANIZATION', u'RAF'), (u'STATE_OR_PROVINCE', u'MB'), (u'STATE_OR_PROVINCE', u'MB'), (u'PERSON', u'K. NE')]"
DEFE-24-1922_103,,,,,"•Ââi‰Û÷
\
f‰ÛÏ, ‰Ûª, .m
‰Û÷_. P a;
h) .‰Ûª\
1
CK,
 
D
w)
c3
å´ H'd‰Ûª
UKRACC
AI?
 
 
La
:3 Z ‰Ûù‰ÛÓ‰Û÷mn•Ââu•Ââuu•Ââf
1.14
. -(1
A{\_/
m
x
A
\J
2v
.\'
t
x
C
'7
‰Û÷_ x
, O‰Û÷
-A
Cf•Ââ'! {'1‰Û÷
cu ‰Û÷_/
l
M
 
Y
x
P
H
L
1
SE
VG
fw•ÂÅ
A S
H U
WARD
T
‰ÛÏdhfi‰Û÷
Q
g
‰Ûª13 ,.... 3
-~ ‰Ûùr1
3 In
an-","[(u'NUMBER', u'1'), (u'ORGANIZATION', u'UKRACC'), (u'STATE_OR_PROVINCE', u'La'), (u'NUMBER', u'3'), (u'NUMBER', u'1.14'), (u'NUMBER', u'1'), (u'NUMBER', u'\\ _'), (u'NUMBER', u'\\'), (u'NUMBER', u'7'), (u'NUMBER', u'_'), (u'NUMBER', u'1'), (u'NUMBER', u'1'), (u'NUMBER', u'\u201913'), (u'NUMBER', u'3'), (u'NUMBER', u'3')]"
