Captions,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Id,URL,id,text
,,,,,,,,,,,DEFE-24-1922_29,"K. NEARBY OBJECTS
(Telephone lines, high voltage
lines, reservoir, lake or dam,
swamp or marsh, river, high
buildings. tall chimneys, steeples,
spires, TV or radio masts,
airfields, generating plant, V
factories, pits or other sites with
flood lights .or night lighting)

rm

 

TO wnon REPORTED
(Police, military; press etc.)

 

HET’ F%nJCET
90mm 71).
ccwfurék zezz- 39/0

mm mm

 

NAME AND ADDRESS OF INFORMANT

 

BACKGROUND OF INFORNANT THAT MAY Bi_
V LUNTEERED

 

gbuntﬁﬂ> easesigL57
m mu cb/

 

0. OTHER VITNESSES

/’

 

P; DATE AND TIME OF RECEIPT

10(919 DEC 99».

 

ANY UNUSUAL METEOROLOGICAL

 

 

 

 

 

 

 

 

 

. Q. ’2////
CONDITIONS ’
R. REMARKS
Date ZI£H?Z>31J- Sqn 0 AF Ops
. 1
Copies to: DS-‘ Ops (GE)? (RAF) D1 55 (RAF) File
Rm Rm Rm
Maln 3 Main 3 Metropo e


 

K."
,,,,,,,,,,,DEFE-24-1922_15,"REPORT OF AN UNIDENTIFIED FLYING OBJECT

 

Date, Time and Duration of
Sighting.

27,1325 7_ 70kg”;

’0”;M 4

 

DESCRIPTION OF OBJECT
(Humber of obﬁecta, size,
shape, colour, brightness)

 

 

EXACT POSITION 0F OBSERVER
(Location,‘inaoor/oufaoor,

Vatationary; moving)

Mu pkg“ m.ﬁéLﬂHD/hé
W N-Ya’ﬂ‘

 

 

D.

BOW OBSERVED

e eye, inoculars,
other'qptical devices.
still or movie)

3mm: V/(gme

 

DIRECTION IN WHICH OBJECT
EIRST SEEN

‘ an ar may be more
useful than a badly estimated
bearing)

@5223.

 

F.

- ANGLE 01? SIGHT

Lstlmated

> elghts are
unreliable)

95°.

 

DISTANCE
- _ reference ts knvwn

landmark)

$99€% {Zwvun«.‘

 

HOVEHENTS

(Changes in E; F and G may
bg or more use than estimates
0: course and speed)

/

SW 1'

 

 

 

J.

MET CONDITIONS DURING

(clouds, Haze; mist etc)

 

ma;

 


REPOR"
,,,,,,,,,,,DEFE-24-1922_114,"K. m:nm OBJECTS - lewga 7 ( ' ‘
(Telephone lines, high voltage In, W SW (motgfgé
lines, reservoir, lake or dam, [20% 15W NNE

swamp or marsh, river, high
buildings, tall chimneys, steeples,
spires, TV' or radio masts,

airfields,’ generating plant, .
factories, pits or other sites with
'i'lood lights or night lighting)

 

~ . ' \— D ‘
L. TO waon REPORTED do 01125 00% M F m
L7

[~—
(Police, military, press etc.) ‘1‘

 

' r1. BE AND ADDRESS OF BJFOEWANT

 

 

 

 

 

 

 

 

N. BACKGROUND 'OF momma? THAT MAY BE 7'10 hkamd [?\I/UWI'OIZOL
VDLUNTEERED
0. cm WITNESSES - 720m
‘P.’ mm AND TIME OF RECEIPT - 1835/: $2005 A.
- Q. m UNUSUAL METEOROIDGICAL _ 72¢,
CONDITIONS

 

R. REMARKS [Nona ngzaﬁndd -”
' a Mm @515“ M

 

 

 

 

 

 

Date fgﬁ/anief /?%j~

Sq AF 0133
Copies to; D8 583 Ops GE 2 RAF) DI File
Em Bm Rm '

Main g Main 5 Metropo e


 

K."
,,,,,,,,,,,DEFE-24-1922_100,"Reply To:

r.

 
 
 
 
 

\( .

Yorkshire UFO Societi (YuroS):

To: The Air Ministry,
Main Building,
Ministry of Defence.
Whitehall,

London, SWI.

Dear sir, I 28th September I984
Ref: Unusual light formation seen over Leeds, 23rd July I984

with regard to the above incident. We are now in receipt, some seven
weeks after requesting data, the Ministry of Defence's denial that they
were in some way involved with the lights seen by many members of the
public over Leeds, and surrounding districts that night.

Our enquires believe that the opposite is true, that either Gazzelle or
Lynx helicopters, from locations we have been in touch with, were involved
in the testing of some form of powerful are light, probably of the same
nature used by Bedfordshire police in their hunt for the man known as the
‘Fox'. we require a statement, given that we have collected enough data
for this serious matter to be raised by the local authority in the form

of the Leeds & Bradford Airport Authority, which will confirm our findings.

If the nature of the tests are so sensitive, then why carry them out over
a city with a 750,000 plus population, and where we, as a Society will
research the incident until the truth is known? I am aware that if proven,
then prosecutions could result, for breaking Civil Aviation Authority
rules about airspace etc. That is not for me to decide, what I am eager

to do, is resolve who flew over the area that night, in what, why it was
there at all, and just what on Earth is really going on with the continued
shuttle service from the south of England northwards? If answers are to

be forthcoming, I will be grateful, if not, then we shall continue with

our efforts, through various quarters, until then, I remain,

l

 

President)
THE YORKSHIRE UFO SOCIETY


 

Re"
,,,,,,,,,,,DEFE-24-1922_101,"w“ ' . \',.
..\ r. ,‘ §_ ~ ‘\‘-_ _ ._"":'.
-\-'.""-.

. ‘ \ , ' ‘ . ‘ z"". n'. ‘ . ""9-.
' . Jv.‘ -\ . ""‘3' - “.3

, .‘v. .‘ ‘.

\
\

 

.\ \I. , . m.-
.. . . v, y 5‘...
.\. .n ‘42, .- .x.

- .»~ ~ ‘. x.‘

 
 
 
 
 

«¢- .‘.w ..
w‘ .‘..‘v'-‘ ‘

 

'. . “T""
x”.

‘ '.\"
,,,,,,,,,,,DEFE-24-1922_115,"""

 

 

< MSNESTR‘Y’ ‘1}? PF"";

 

 

A. DateJ Time and Duration of Sighting; (Local Times to be Quoted)
I S’ﬁpp (K)

ij‘gﬁpr Qfléﬂ A ' (23962:ch N77 _ QOJS 9M6 9C3.

B. Description of Object. (Number of objeccs, size, shape, colours,
brightness, sound, smell etc). _

NW7""? (Zeb 9— CREBQ LQRTs"" .'.1NTeQ,Cx-\N\»QtNC‘

1E t'ﬂA %A .2535 Cazeew Towbkvt"" OCCA‘SqQW $6 $5»: max-

C. Exact Pcsition Observer. (Geographical location. Indoors or outdoors.
Stationary or moving). ' .

80531131 OuTbooPS/ S't’k'ﬁmqw/

N 1 cm». $W~m\

11). How O_bserved. (Naked eye, binoculars, other optical device, Still or
'“f‘l9 namera. . .
NPNEk (YE:-

V- in

E. Direction in which Object was First Seen. (A landmark may be more
useful than a badly estimated bearing).

Hekb‘ﬁcx M exam SW ""REM 37$“me
a_ovuu'ES waif (91114.. < (emu) Mik/ A‘T Z2735)
F. AQEngoLS‘ggﬁ. (Estimated heights are unreliable)
$0 C” off“ wzw’mk
G. Djsgj” ance. (By reference to a known landmark memevex possible)

2 MlLfS LJcn' Scsrcam

H. Movements. (Changes in E, F and G may be of more use than estimates

.Wm-—

of course and. speed).

\

NC Cmocxé

'i. {ieteorqlogical Cond1t1o during Observations. (Moving clouds, haze,

-.: -1 “4.3)

(Lama PVT FMZST Clack D%IU'UUC. $4 2230


"""
,,,,,,,,,,,DEFE-24-1922_14,Too short
,,,,,,,,,,,DEFE-24-1922_28,"REPORT 01? m UHIDmT‘IFIED FLYIWG?:;QBJECT§""“_TQ‘;'TT‘_’f -

 

Date, Time and Duration of
Sighting.

IWRIL

93932 mam g
m .7 ‘

(va Havana, w . W...

 

U

 

 

 

B.

DESCRIPTION OF OBJECT
(Number of objecfs, size,
shape, colour, brightness)

5ILV‘E71 05mm} WM?!»
VERY Mmm’

 

EXACT POSITION OF OBSERVER
(Location,_indoor/Outaoor,

.stationazy, moving)

FWChVé’ £5?$J' {”7f3425T

 

HOV OBSERVED

e eye, inoculars,
other'optical devices,
still or movie

mm; EVE

 

DIRECTION IN WHICH OBJECT
IIRST BLEH

’ an ar may be more
useful than a badly estimated
bearing)

1539’ - Zm’

 

' ANGLE OF SIGHT

(Letlmated Eelghts are
unreliable)

leétfly
131

19301}?

 

DISTANCE

reference to known
(landmark)

I ma? Wﬁ)’

 

H.

HOVDENTS

(Changes in E; F and G may
b9 of more use than estimates
0; course and speed)

§Y7LL»

 

 

J.

NET CONDITIONS DURING
X
(Qlouds, Haze, mist etc)

 

9991

 

 


REPOR"
,,,,,,,,,,,DEFE-24-1922_16,"K. NEARBY OBJECTS '
(Telephone lines, high voltage
lines, reservoir, lake or dam,
swamp or marsh, river, high
buildings, tall chimneys, steeples, ..
spires, TV or radio masts, .
airfields, generating plant,
factories, pits or other sites with
flood lighti; or night lighting)

 

 

L. TO VIEW REPORTED
(Police, military, ' press etc.)

 

‘ n. RAM .4511) mums 0F nmommm

 

 

 

 

 

 

N. BACKGROUND or momr THAT MAY BF 5’
VOLUNTEERED 1 k) kW
0. cm WITNESSES No
‘P.’ DATE mum“ 10F RECEIPT $22335 ""2&7ng

 

‘ Q. m UNUSUALHMEIITEOROIDGICAL ’ A3
CONDITIONS ' . o

 

R.EEMARKS

 

 

 

 

I

Date 7’12 T191331;

 

andr D00 ”0138'

Copies to; 524:“ MM GE DI 55 (RAF) File
Rm Rm Rm
V MB t—

} . . MB Ne ropo e


K. NE"
,,,,,,,,,,,DEFE-24-1922_103,"ﬂi‘

\

f“, ’, .m
‘_. P a;

h) .’\
1

CK,

 

D

w)
c3

¥ H'd’

UKRACC

AI?

 

 

La

:3 Z ”—‘mnﬂuﬂuuﬂf

1.14
. -(1
A{\_/
m
x
A

\J
2v
.\'

t

x

C

'7

‘_ x

, O‘

-A

Cfﬂ'! {'1‘
cu ‘_/

l

M

 

Y
x
P
H

L

1

SE
VG

fwﬁ

A S
H U
WARD

T

“dhfi‘

Q
g

’13 ,.... 3

-~ ”r1

3 In
an-"
