id,Captions,URL,Class
0,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file1__ORIGINALPHOTOGRAPHc18.jpg,['rapeseed']
1,a close up of a person holding an open umbrella,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file2__UFO1.jpg,['window screen']
2,a large white bird standing on top of a sandy beach .,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file3__UFO2.jpg,['window screen']
3,a cat is sitting on top of a chair .,http://www.mufoncms.com/files_jeud8334j/90721_submitter_file4__UFOCLOSEUP.jpg,['window screen']
4,a black and white photo of a stop sign,http://www.mufoncms.com/files_jeud8334j/91119_submitter_file1__8996A574AF974A2D860FBE268316424E.jpeg,['missile']
5,a view of a bunch of trees in the rain .,http://www.mufoncms.com/files_jeud8334j/91119_submitter_file2__153D320F8B47445495D62FFFB23F32CD.jpeg,"['racket, racquet']"
6,a black and white photo of a man in a suit,http://www.mufoncms.com/files_jeud8334j/91053_submitter_file1__201803270h11min.jpg,['digital clock']
7,a bird is perched on a branch of a tree .,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file1__0CAAA790C3F64F0EB1E012CCA6BBF4F1.jpeg,['Norfolk terrier']
8,a person holding an umbrella in the rain .,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file2__4C5A3D07A6294F08BED4E65EE770E012.jpeg,['bow']
9,a black and white photo of a bird,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file3__66A8A4952F6246B78DB0E06804D2DECC.jpeg,['bow']
10,a black and white photo of a person holding a soccer ball,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file4__49B955507DAC4FD8A068D121E3934255.jpeg,['miniature poodle']
11,a black and white photo of a person holding a remote control .,http://www.mufoncms.com/files_jeud8334j/91057_submitter_file5__2C873DA732DF433FA42CBEA0C344ACE2.jpeg,"['notebook, notebook computer']"
12,a person is flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90949_submitter_file1__849D074B3F1E4B3E8CF062733B6790D3.jpeg,['alp']
13,a person flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/90433_submitter_file1__IMG20170821131622.jpg,['balloon']
14,a group of birds flying over a lush green field .,http://www.mufoncms.com/files_jeud8334j/90433_submitter_file2__20171015161739.png,"['airship, dirigible']"
15,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/91028_submitter_file1__IMG13071.jpg,"['parachute, chute']"
