Case_ID,Class,URL
4023,"['parachute, chute']",http://www.mufoncms.com/u2/files_jeud8334j/4023_submitter_file1__DSC00067B_and_WMoreCont.jpg
4783,['balloon'],http://www.mufoncms.com/u2/files_jeud8334j/4783_submitter_file1__UFO21964x1003.jpg
4783,['window screen'],http://www.mufoncms.com/u2/files_jeud8334j/4783_submitter_file2__UFO2170x1149.jpg
4783,"['beacon, lighthouse, beacon light, pharos']",http://www.mufoncms.com/u2/files_jeud8334j/4783_submitter_file3__ufo4894x683.jpg
4028,"['web site, website, internet site, site']",http://www.mufoncms.com/u2/files_jeud8334j/4028_submitter_file1__familyspread.jpg
4028,"['web site, website, internet site, site']",http://www.mufoncms.com/u2/files_jeud8334j/4028_submitter_file2__familyspreadpg3.jpg
90725,['window screen'],http://www.mufoncms.com/files_jeud8334j/90725_submitter_file1__20180311180223.jpg
90725,['window screen'],http://www.mufoncms.com/files_jeud8334j/90725_submitter_file2__20180311180148.jpg
90721,['rapeseed'],http://www.mufoncms.com/files_jeud8334j/90721_submitter_file1__ORIGINALPHOTOGRAPHc18.jpg
90721,['window screen'],http://www.mufoncms.com/files_jeud8334j/90721_submitter_file2__UFO1.jpg
90721,['window screen'],http://www.mufoncms.com/files_jeud8334j/90721_submitter_file3__UFO2.jpg
90721,['window screen'],http://www.mufoncms.com/files_jeud8334j/90721_submitter_file4__UFOCLOSEUP.jpg
90722,['alp'],http://www.mufoncms.com/files_jeud8334j/90722_submitter_file1__20180308180131.jpg
90722,['pole'],http://www.mufoncms.com/files_jeud8334j/90722_submitter_file2__20180308180130.jpg
90722,['missile'],http://www.mufoncms.com/files_jeud8334j/90722_submitter_file3__20180308180124.jpg
90722,['missile'],http://www.mufoncms.com/files_jeud8334j/90722_submitter_file4__20180308180122.jpg
90722,['missile'],http://www.mufoncms.com/files_jeud8334j/90722_submitter_file5__20180308180122.jpg
90196,['volcano'],http://www.mufoncms.com/files_jeud8334j/90196_submitter_file3__20180207191754.jpg
90728,['tray'],http://www.mufoncms.com/files_jeud8334j/90728_submitter_file1__97F6CFA923EA4B488AA7ED6B1263E033.jpeg
91119,['missile'],http://www.mufoncms.com/files_jeud8334j/91119_submitter_file1__8996A574AF974A2D860FBE268316424E.jpeg
91119,"['racket, racquet']",http://www.mufoncms.com/files_jeud8334j/91119_submitter_file2__153D320F8B47445495D62FFFB23F32CD.jpeg
91053,['digital clock'],http://www.mufoncms.com/files_jeud8334j/91053_submitter_file1__201803270h11min.jpg
91057,['Norfolk terrier'],http://www.mufoncms.com/files_jeud8334j/91057_submitter_file1__0CAAA790C3F64F0EB1E012CCA6BBF4F1.jpeg
91057,['bow'],http://www.mufoncms.com/files_jeud8334j/91057_submitter_file2__4C5A3D07A6294F08BED4E65EE770E012.jpeg
91057,['bow'],http://www.mufoncms.com/files_jeud8334j/91057_submitter_file3__66A8A4952F6246B78DB0E06804D2DECC.jpeg
91057,['miniature poodle'],http://www.mufoncms.com/files_jeud8334j/91057_submitter_file4__49B955507DAC4FD8A068D121E3934255.jpeg
91057,"['notebook, notebook computer']",http://www.mufoncms.com/files_jeud8334j/91057_submitter_file5__2C873DA732DF433FA42CBEA0C344ACE2.jpeg
4730,"['letter opener, paper knife, paperknife']",http://www.mufoncms.com/u2/files_jeud8334j/4730_submitter_file1__april15thufo.jpg
4731,['envelope'],http://www.mufoncms.com/u2/files_jeud8334j/4731_submitter_file1__Picture048.jpg
4737,"['promontory, headland, head, foreland']",http://www.mufoncms.com/u2/files_jeud8334j/4737_submitter_file1__Picture1.jpg
4735,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/u2/files_jeud8334j/4735_submitter_file1__ufosaturationoforiginal.jpg
4735,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/u2/files_jeud8334j/4735_submitter_file2__8xzoomUFO.jpg
90681,['geyser'],http://www.mufoncms.com/files_jeud8334j/90681_submitter_file1__UFO1.jpg
90687,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90687_submitter_file1__20180310092410.jpg
90942,['jellyfish'],http://www.mufoncms.com/files_jeud8334j/90942_submitter_file1__SACUFOSighting01.png
90945,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90945_submitter_file1__image1.jpeg
4558,['mask'],http://www.mufoncms.com/u2/files_jeud8334j/4558_submitter_file2__001b.jpg
90949,['alp'],http://www.mufoncms.com/files_jeud8334j/90949_submitter_file1__849D074B3F1E4B3E8CF062733B6790D3.jpeg
90433,['balloon'],http://www.mufoncms.com/files_jeud8334j/90433_submitter_file1__IMG20170821131622.jpg
90433,"['airship, dirigible']",http://www.mufoncms.com/files_jeud8334j/90433_submitter_file2__20171015161739.png
91028,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/91028_submitter_file1__IMG13071.jpg
91025,['suspension bridge'],http://www.mufoncms.com/files_jeud8334j/91025_submitter_file1__image.jpeg
90536,"['submarine, pigboat, sub, U-boat']",http://www.mufoncms.com/files_jeud8334j/90536_submitter_file1__IMG0006.jpg
90536,"['parachute, chute']",http://www.mufoncms.com/files_jeud8334j/90536_submitter_file2__IMG00062.jpg
91022,['pole'],http://www.mufoncms.com/files_jeud8334j/91022_submitter_file1__4A23B600D8814B60A86C559DED503BFF.jpeg
91022,['rapeseed'],http://www.mufoncms.com/files_jeud8334j/91022_submitter_file2__81EFED6721814D0C82FC4AD118575803.jpeg
91189,['coral reef'],http://www.mufoncms.com/files_jeud8334j/91189_submitter_file1__image.jpeg
91189,['jellyfish'],http://www.mufoncms.com/files_jeud8334j/91189_submitter_file2__image.jpeg
91189,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/91189_submitter_file3__image.jpeg
91189,['volcano'],http://www.mufoncms.com/files_jeud8334j/91189_submitter_file4__image.jpeg
91189,['volcano'],http://www.mufoncms.com/files_jeud8334j/91189_submitter_file5__image.jpeg
90798,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90798_submitter_file2__20180315231851.jpg
90798,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90798_submitter_file3__20180315231846.jpg
90799,['envelope'],http://www.mufoncms.com/files_jeud8334j/90799_submitter_file1__20180316020626.jpg
90799,"['traffic light, traffic signal, stoplight']",http://www.mufoncms.com/files_jeud8334j/90799_submitter_file2__Screenshot20180316021707.jpg
90799,['planetarium'],http://www.mufoncms.com/files_jeud8334j/90799_submitter_file3__Screenshot20180316022858.jpg
90799,"['maze, labyrinth']",http://www.mufoncms.com/files_jeud8334j/90799_submitter_file4__Screenshot20180316022225.jpg
91231,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/91231_submitter_file1__25362.jpeg
91232,['envelope'],http://www.mufoncms.com/files_jeud8334j/91232_submitter_file1__IMG20180405211610.jpg
91233,"['worm fence, snake fence, snake-rail fence, Virginia fence']",http://www.mufoncms.com/files_jeud8334j/91233_submitter_file1__ufo1.jpg
91233,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi']",http://www.mufoncms.com/files_jeud8334j/91233_submitter_file2__Ufo2.jpg
90223,"['spotlight, spot']",http://www.mufoncms.com/files_jeud8334j/90223_submitter_file2__20180129024805.jpg
90223,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90223_submitter_file4__20180129025343.jpg
90543,['barn'],http://www.mufoncms.com/files_jeud8334j/90543_submitter_file1__102B1B4E9365479C82AB5711D6398075.jpeg
90543,"['nematode, nematode worm, roundworm']",http://www.mufoncms.com/files_jeud8334j/90543_submitter_file2__BE71583F4AC84AE1B7FE5118C66B8EB2.jpeg
90543,['jellyfish'],http://www.mufoncms.com/files_jeud8334j/90543_submitter_file3__07FCD590749948BEAB830B3D0FE6E0B6.jpeg
