Captions,URL
a black and white photo of a plane flying in the sky .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/u2/files_jeud8334j/4023_submitter_file1__DSC00067B_and_WMoreCont.jpg
a view of a city street from the side of the road .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/u2/files_jeud8334j/4783_submitter_file1__UFO21964x1003.jpg
a red fire hydrant sitting in the middle of a forest .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/u2/files_jeud8334j/4783_submitter_file2__UFO2170x1149.jpg
a plane flying over a large body of water .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/u2/files_jeud8334j/4783_submitter_file3__ufo4894x683.jpg
a collage of photos with a person holding a frisbee,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/u2/files_jeud8334j/4028_submitter_file1__familyspread.jpg
a collage of pictures of a man holding a frisbee .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/u2/files_jeud8334j/4028_submitter_file2__familyspreadpg3.jpg
a black and white photo of a black and white plane,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90725_submitter_file1__20180311180223.jpg
a white and black cat is standing in a window,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90725_submitter_file2__20180311180148.jpg
a person is flying a kite in a field .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90721_submitter_file1__ORIGINALPHOTOGRAPHc18.jpg
a close up of a person holding an open umbrella,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90721_submitter_file2__UFO1.jpg
a large white bird standing on top of a sandy beach .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90721_submitter_file3__UFO2.jpg
a cat is sitting on top of a chair .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90721_submitter_file4__UFOCLOSEUP.jpg
a plane is flying over a snowy mountain .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90722_submitter_file1__20180308180131.jpg
a view of a plane flying over a mountain .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90722_submitter_file2__20180308180130.jpg
a snow covered ski slope with lots of trees .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90722_submitter_file3__20180308180124.jpg
an airplane flying over a snow covered mountain .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90722_submitter_file4__20180308180122.jpg
an airplane flying over a snow covered mountain .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90722_submitter_file5__20180308180122.jpg
a close up of a traffic light with a sky background,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90196_submitter_file3__20180207191754.jpg
a view of a plane flying through the air .,http://localhost:8764/inception/v3/caption/image?url=http://www.mufoncms.com/files_jeud8334j/90728_submitter_file1__97F6CFA923EA4B488AA7ED6B1263E033.jpeg
