URLs,Classnames,Format,Type
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90001_submitter_file1__2735649410214911253155996582110673897064736o.jpg,wing,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90002_submitter_file1__FBIMG1517728701063.jpg,steam locomotive,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90002_submitter_file2__FBIMG1517728689773.jpg,steam locomotive,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90004_submitter_file1__UFOCloudPic.jpg,car mirror,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90014_submitter_file1__20180203030950.mp4,ski mask,mp4,video
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90016_submitter_file1__20171104183900.mp4,"nematode, nematode worm, roundworm",mp4,video
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90017_submitter_file1__IMG20180204WA0004.jpg,velvet,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90018_submitter_file1__IMG87462.JPG,jellyfish,JPG,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90018_submitter_file2__lights1211.jpg,tennis ball,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90018_submitter_file3__MVI8756.MOV,"nematode, nematode worm, roundworm",MOV,video
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90026_submitter_file1__28C8CAF8DDF34F249167F069F7C33B70.jpeg,"cinema, movie theater, movie theatre, movie house, picture palace",jpeg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90027_submitter_file1__Feb04unk.gif,"puck, hockey puck",gif,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90028_submitter_file1__ISSonLive20180205051414558.mp4,coral reef,mp4,video
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90028_submitter_file2__ISSonLive20180205053932.jpg,planetarium,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90037_submitter_file1__FBIMG1517744568713.jpg,"lakeside, lakeshore",jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90037_submitter_file2__received1706143739428410.jpeg,"lakeside, lakeshore",jpeg,image
